pincode,state,latitude,longitude
272182,Uttar Pradesh,26.86330032,82.7365036
272192,Uttar Pradesh,27.32857323,82.66648102
272204,Uttar Pradesh,27.40128517,83.02754211
272207,Uttar Pradesh,27.28816032,82.95965576
272301,Uttar Pradesh,26.62732124,82.74203491
272302,Uttar Pradesh,26.76448059,82.66318512
273001,Uttar Pradesh,26.7501545,83.3753891
273007,Uttar Pradesh,26.81584167,83.36286926
273009,Uttar Pradesh,26.75853539,83.37879181
273010,Uttar Pradesh,26.69059944,83.41014099
273012,Uttar Pradesh,26.7524128,83.38076782
273202,Uttar Pradesh,26.67303848,83.53253937
273301,Uttar Pradesh,26.99077034,83.53146362
273303,Uttar Pradesh,27.13478661,83.52540588
273305,Uttar Pradesh,27.13135147,83.77490234
273407,Uttar Pradesh,26.45227623,83.25858307
273411,Uttar Pradesh,26.45411301,83.45775604
273415,Uttar Pradesh,27.17840195,83.87150574
274001,Tamil Nadu,26.48573494,83.75338745
274202,Tamil Nadu,26.60837936,83.71196747
274203,Tamil Nadu,26.75742531,83.70932007
274205,Tamil Nadu,27.86922455,79.67741394
274206,Tamil Nadu,26.72753334,83.86289978
274301,Tamil Nadu,26.89409637,83.71608734
274304,Tamil Nadu,26.87661552,83.97686005
274401,Tamil Nadu,26.66566086,84.05392456
274407,Tamil Nadu,26.69311142,84.18286133
274408,Tamil Nadu,26.63039017,83.89628601
274502,Tamil Nadu,26.4716301,83.7854538
274505,Tamil Nadu,26.16140366,83.8916626
274509,Tamil Nadu,26.2967205,83.92132568
274601,Tamil Nadu,26.27811432,83.72124481
274604,Tamil Nadu,26.25505257,83.77745056
274702,Tamil Nadu,26.35453796,84.04899597
275102,Uttar Pradesh,25.94371414,83.58170319
275105,Uttar Pradesh,26.06922531,83.55645752
275204,Uttar Pradesh,25.71010017,83.27837372
275205,Uttar Pradesh,25.64499092,83.62723541
275207,Uttar Pradesh,25.82780075,83.40139771
276123,Uttar Pradesh,25.7659359,83.20357513
276128,Uttar Pradesh,26.00125694,83.20505524
276131,Uttar Pradesh,25.957201,83.26326752
276135,Uttar Pradesh,26.10371208,83.1805954
276137,Uttar Pradesh,26.10520744,83.10622406
276202,Uttar Pradesh,25.8019619,83.00273132
276208,Uttar Pradesh,26.00395584,83.03522491
276302,Uttar Pradesh,25.90945435,82.97950745
276303,Uttar Pradesh,25.89938545,82.98857117
276405,Uttar Pradesh,26.06720543,83.38600922
277121,Uttar Pradesh,25.84980392,84.0330658
277204,Uttar Pradesh,25.72508621,84.51350403
277502,Uttar Pradesh,25.69725609,83.99801636
281001,Uttar Pradesh,27.49119186,77.67713165
281002,Uttar Pradesh,27.49064255,77.68354034
281003,Uttar Pradesh,27.7196579,77.67015076
281112,Uttar Pradesh,27.32060432,77.76220703
281121,Uttar Pradesh,27.57004356,77.68736267
281306,Uttar Pradesh,27.43902206,78.03591919
281307,Uttar Pradesh,27.56368828,78.25074005
281401,Uttar Pradesh,27.72431374,77.50773621
281402,Uttar Pradesh,27.58209419,77.60923004
282001,Uttar Pradesh,27.14979172,78.06310272
282002,Uttar Pradesh,27.19336319,78.00313568
282003,Uttar Pradesh,27.19130516,78.00518799
282004,Uttar Pradesh,27.16033554,78.0291214
282005,Uttar Pradesh,27.21244621,78.0072937
282006,Uttar Pradesh,27.18993759,78.03923798
282007,Uttar Pradesh,27.20657539,77.9720459
282009,Uttar Pradesh,27.07758904,78.02069092
283101,Uttar Pradesh,27.1752739,77.76817322
283102,Uttar Pradesh,27.1145153,78.1349411
283104,Uttar Pradesh,27.01721382,79.34857178
283110,Uttar Pradesh,27.09355545,77.67163086
283111,Uttar Pradesh,27.0277977,78.30570221
283112,Uttar Pradesh,26.9178772,77.97959137
283114,Uttar Pradesh,26.84408951,78.65755463
283115,Uttar Pradesh,26.84600067,77.56001282
283119,Uttar Pradesh,26.98842049,77.81189728
283202,Uttar Pradesh,27.23363686,78.19813538
283203,Uttar Pradesh,27.1472435,78.40194702
284001,Uttar Pradesh,25.45712662,78.59492493
284128,Uttar Pradesh,25.45857811,78.61421204
284203,Uttar Pradesh,25.57328606,79.29720306
284302,Uttar Pradesh,25.78754425,79.08834839
284401,Uttar Pradesh,25.2697525,78.44637299
284403,Uttar Pradesh,24.67225838,78.43237305
284405,Uttar Pradesh,24.54172325,78.77091217
284406,Uttar Pradesh,24.43067741,78.69037628
285001,Uttar Pradesh,25.90942383,79.41342926
285122,Uttar Pradesh,25.84083557,79.43320465
